all_names,canonical_smiles,chirality,inchi_key_from_mol,inchi_key_from_smiles,is_radical,molecule_chembl_id,molecule_type,mw_<100_or_>1000,mw_freebase,n_stereocenters,nstereo,num_ro5_violations,salt_chembl_id,standard_inchi_key,standard_inchi_skeleton,standard_inchi_stereo
(+)-Arisugacin A,COc1ccc(-c2cc3c(c(=O)o2)C[C@]2(O)[C@@]4(C)C(=O)C=CC(C)(C)[C@]4(O)CC[C@@]2(C)O3)cc1OC,-1,MIHBCQWIBJDVPX-JUDWXZBOSA-N,MIHBCQWIBJDVPX-JUDWXZBOSA-N,false,CHEMBL283509,Small molecule,false,496.56,4,1,0,CHEMBL283509,MIHBCQWIBJDVPX-JUDWXZBOSA-N,MIHBCQWIBJDVPX,JUDWXZBO
(+)-Butaclamol,CC(C)(C)[C@@]1(O)CCN2C[C@@H]3c4ccccc4CCc4cccc(c43)[C@H]2C1,-1,ZZJYIKPMDIWRSN-TZBSWOFLSA-N,ZZJYIKPMDIWRSN-TZBSWOFLSA-N,false,CHEMBL1255588,Small molecule,false,361.53,3,1,0,CHEMBL1255588,ZZJYIKPMDIWRSN-TZBSWOFLSA-N,ZZJYIKPMDIWRSN,TZBSWOFL
(+)-EHNA,CCCCCC[C@H]([C@H](C)O)n1cnc2c(N)ncnc21,-1,IOSAAWHGJUZBOG-WDEREUQCSA-N,IOSAAWHGJUZBOG-WDEREUQCSA-N,false,CHEMBL296435,Small molecule,false,277.37,2,1,0,CHEMBL296435,IOSAAWHGJUZBOG-WDEREUQCSA-N,IOSAAWHGJUZBOG,WDEREUQC
"(+)-PENTAZOCINE, (+)-Pentazocine",CC(C)=CCN1CC[C@]2(C)c3cc(O)ccc3C[C@H]1[C@H]2C,-1,VOKSWYLNZZRQPF-CCKFTAQKSA-N,VOKSWYLNZZRQPF-CCKFTAQKSA-N,false,CHEMBL60542,Small molecule,false,285.43,3,1,0,CHEMBL60542,VOKSWYLNZZRQPF-CCKFTAQKSA-N,VOKSWYLNZZRQPF,CCKFTAQK
"(+)-TRANYLCYPROMINE, (+)-Tranylcypromine, (-)-Tranylcypromine, Trans-2-Phenylcyclopropanamine, Trans-2-Phenylcyclopropylamine",N[C@H]1C[C@@H]1c1ccccc1,-1,AELCINSCMGFISI-BDAKNGLRSA-N,AELCINSCMGFISI-BDAKNGLRSA-N,false,CHEMBL257990,Small molecule,false,133.19,2,1,0,CHEMBL257990,AELCINSCMGFISI-BDAKNGLRSA-N,AELCINSCMGFISI,BDAKNGLR
"(+/-)-Huprine Y, (+/-)-Hupriney HCl",CC1=CC2Cc3nc4cc(Cl)ccc4c(N)c3C(C1)C2.Cl,-1,PIFZZHUTNUAVBT-UHFFFAOYSA-N,PIFZZHUTNUAVBT-UHFFFAOYSA-N,false,CHEMBL140476,Small molecule,false,284.79,2,4,0,CHEMBL536047,PIFZZHUTNUAVBT-UHFFFAOYSA-N,PIFZZHUTNUAVBT,UHFFFAOY
(-)-CATECHINGALLATE,O=C(O[C@@H]1Cc2c(O)cc(O)cc2O[C@H]1c1ccc(O)c(O)c1)c1cc(O)c(O)c(O)c1,-1,LSHVYAFMTMFKBA-CTNGQTDRSA-N,LSHVYAFMTMFKBA-CTNGQTDRSA-N,false,CHEMBL129451,Small molecule,false,442.38,2,1,1,CHEMBL129451,LSHVYAFMTMFKBA-CTNGQTDRSA-N,LSHVYAFMTMFKBA,CTNGQTDR
(-)-Cercosporamide,CC(=O)C1=C(O)C=C2Oc3c(C(N)=O)c(O)cc(O)c3[C@]2(C)C1=O,-1,GEWLYFZWVLXQME-MRXNPFEDSA-N,GEWLYFZWVLXQME-MRXNPFEDSA-N,false,CHEMBL475816,Small molecule,false,331.28,1,1,0,CHEMBL475816,GEWLYFZWVLXQME-MRXNPFEDSA-N,GEWLYFZWVLXQME,MRXNPFED
(-)-Corydalmine,COc1cc2c(cc1OC)[C@@H]1Cc3ccc(O)c(OC)c3CN1CC2,-1,DIHXHTWYVOYYDC-INIZCTEOSA-N,DIHXHTWYVOYYDC-INIZCTEOSA-N,false,CHEMBL448891,Small molecule,false,341.41,1,1,0,CHEMBL448891,DIHXHTWYVOYYDC-INIZCTEOSA-N,DIHXHTWYVOYYDC,INIZCTEO
"(-)-OLEOCANTHAL, (-)-Oleocanthal",C/C=C(/C=O)[C@@H](CC=O)CC(=O)OCCc1ccc(O)cc1,-1,VPOVFCBNUOUZGG-VAKDEWRISA-N,VPOVFCBNUOUZGG-VAKDEWRISA-N,false,CHEMBL2172394,Small molecule,false,304.34,1,1,0,CHEMBL2172394,VPOVFCBNUOUZGG-VAKDEWRISA-N,VPOVFCBNUOUZGG,VAKDEWRI
