all_names,canonical_smiles,chirality,inchi_key_from_mol,inchi_key_from_smiles,is_radical,molecule_chembl_id,molecule_type,mw_<100_or_>1000,mw_freebase,n_stereocenters,nstereo,num_ro5_violations,salt_chembl_id,standard_inchi_key,standard_inchi_skeleton,standard_inchi_stereo
"(+)-4-Fluorobenzyltrozamicol, P-Fluorobenzyltrozamicol",O[C@@H]1CCN(Cc2ccc(F)cc2)C[C@H]1N1CCC(c2ccccc2)CC1,-1,HPZHSYBCGLDRCT-DHIUTWEWSA-N,HPZHSYBCGLDRCT-DHIUTWEWSA-N,false,CHEMBL129530,Small molecule,false,368.5,2,1,0,CHEMBL129530,HPZHSYBCGLDRCT-DHIUTWEWSA-N,HPZHSYBCGLDRCT,DHIUTWEW
(+)-CALANOLIDE A,CCCc1cc(=O)oc2c3c(c4c(c12)OC(C)(C)C=C4)O[C@H](C)[C@@H](C)[C@@H]3O,-1,NIDRYBLTWYFCFV-FMTVUPSXSA-N,NIDRYBLTWYFCFV-FMTVUPSXSA-N,false,CHEMBL267447,Small molecule,false,370.45,3,1,0,CHEMBL267447,NIDRYBLTWYFCFV-FMTVUPSXSA-N,NIDRYBLTWYFCFV,FMTVUPSX
(+)-Cis-Dioxolane Iodide,C[C@H]1OC[C@@H](C[N+](C)(C)C)O1.[I-],-1,XFHBFOSBGWDTRO-KZYPOYLOSA-M,XFHBFOSBGWDTRO-KZYPOYLOSA-M,false,CHEMBL105457,Small molecule,false,160.24,2,1,0,CHEMBL387632,XFHBFOSBGWDTRO-KZYPOYLOSA-M,XFHBFOSBGWDTRO,KZYPOYLO
(+)-Huprine Y,CC1=C[C@H]2Cc3nc4cc(Cl)ccc4c(N)c3[C@@H](C1)C2.Cl,-1,PIFZZHUTNUAVBT-DHXVBOOMSA-N,PIFZZHUTNUAVBT-DHXVBOOMSA-N,false,CHEMBL2021616,Small molecule,false,284.79,2,1,0,CHEMBL2011499,PIFZZHUTNUAVBT-DHXVBOOMSA-N,PIFZZHUTNUAVBT,DHXVBOOM
"(+)-PENTAZOCINE, (+)-Pentazocine",CC(C)=CCN1CC[C@]2(C)c3cc(O)ccc3C[C@H]1[C@H]2C,-1,VOKSWYLNZZRQPF-CCKFTAQKSA-N,VOKSWYLNZZRQPF-CCKFTAQKSA-N,false,CHEMBL60542,Small molecule,false,285.43,3,1,0,CHEMBL60542,VOKSWYLNZZRQPF-CCKFTAQKSA-N,VOKSWYLNZZRQPF,CCKFTAQK
"(+/-)-Huprine Y, (+/-)-Hupriney HCl",CC1=CC2Cc3nc4cc(Cl)ccc4c(N)c3C(C1)C2.Cl,-1,PIFZZHUTNUAVBT-UHFFFAOYSA-N,PIFZZHUTNUAVBT-UHFFFAOYSA-N,false,CHEMBL140476,Small molecule,false,284.79,2,4,0,CHEMBL536047,PIFZZHUTNUAVBT-UHFFFAOYSA-N,PIFZZHUTNUAVBT,UHFFFAOY
"(+/-)-MORACIN P, (+/-)-Moracin P, Moracin P",CC1(C)Oc2cc3oc(-c4cc(O)cc(O)c4)cc3cc2CC1O,-1,QFUCSEIKNTUPPA-UHFFFAOYSA-N,QFUCSEIKNTUPPA-UHFFFAOYSA-N,false,CHEMBL380456,Small molecule,false,326.35,1,2,0,CHEMBL380456,QFUCSEIKNTUPPA-UHFFFAOYSA-N,QFUCSEIKNTUPPA,UHFFFAOY
(-)-Cymserine,CC(C)c1ccc(NC(=O)Oc2ccc3c(c2)[C@]2(C)CCN(C)C2N3C)cc1,-1,NKJRRVBTMYRXRB-YANBTOMASA-N,NKJRRVBTMYRXRB-YANBTOMASA-N,false,CHEMBL417915,Small molecule,false,379.5,2,2,0,CHEMBL417915,NKJRRVBTMYRXRB-YANBTOMASA-N,NKJRRVBTMYRXRB,YANBTOMA
(-)-Huprine Y,CC1=C[C@@H]2Cc3nc4cc(Cl)ccc4c(N)c3[C@H](C1)C2.Cl,-1,PIFZZHUTNUAVBT-VZXYPILPSA-N,PIFZZHUTNUAVBT-VZXYPILPSA-N,false,CHEMBL2007996,Small molecule,false,284.79,2,1,0,CHEMBL1994202,PIFZZHUTNUAVBT-VZXYPILPSA-N,PIFZZHUTNUAVBT,VZXYPILP
(-)-Phenserine,CN1CC[C@@]2(C)c3cc(OC(=O)Nc4ccccc4)ccc3N(C)C12,-1,PBHFNBQPZCRWQP-IJHRGXPZSA-N,PBHFNBQPZCRWQP-IJHRGXPZSA-N,false,CHEMBL54727,Small molecule,false,337.42,2,2,0,CHEMBL54727,PBHFNBQPZCRWQP-IJHRGXPZSA-N,PBHFNBQPZCRWQP,IJHRGXPZ
