activity_chembl_id,Filtered.new,independent_IC50,non_independent_IC50,independent_Ki,non_independent_Ki
32538,unicellular_organism,1,0,0,0
32556,incorrect association in ChEMBL,0,0,1,0
32722,unicellular_organism,1,0,0,0
32993,unicellular_organism,0,0,1,0
33774,incorrect association in ChEMBL,1,0,0,0
34166,exact data citation,1,0,0,0
36256,incorrect association in ChEMBL,0,0,1,0
37575,unicellular_organism,1,0,0,0
37842,unicellular_organism,1,0,0,0
39372,unicellular_organism,1,0,0,0
39647,incorrect association in ChEMBL,0,0,1,0
39648,incorrect association in ChEMBL,0,0,1,0
40993,incorrect association in ChEMBL,0,0,1,0
41416,unicellular_organism,0,0,1,0
42044,incorrect association in ChEMBL,1,0,0,0
42371,unicellular_organism,1,0,0,0
42652,unicellular_organism,0,0,1,0
43076,rounded data citation,0,0,4,0
43578,unicellular_organism,1,0,0,0
43767,exact data citation,1,0,0,0
44294,exact data citation,0,0,1,0
44313,incorrect association in ChEMBL,0,0,1,0
45064,unicellular_organism,1,0,0,0
45065,unicellular_organism,1,0,0,0
45571,unicellular_organism,1,0,0,0
45573,unicellular_organism,1,0,0,0
45579,unicellular_organism,1,0,0,0
45759,exact data citation,0,0,2,0
46857,unicellular_organism,0,0,1,0
46987,incorrect association in ChEMBL,0,0,1,0
46996,incorrect association in ChEMBL,0,0,1,0
47464,unicellular_organism,0,0,1,0
47513,unicellular_organism,0,0,1,0
47813,unicellular_organism,1,0,0,0
48737,unicellular_organism,0,0,1,0
49428,incorrect association in ChEMBL,1,0,0,0
50787,incorrect association in ChEMBL,1,0,0,0
50975,unicellular_organism,1,0,0,0
50984,incorrect association in ChEMBL,0,0,1,0
51394,unicellular_organism,0,0,1,0
51403,unicellular_organism,0,0,1,0
52722,unicellular_organism,1,0,0,0
53295,incorrect association in ChEMBL,1,0,0,0
53369,incorrect association in ChEMBL,1,0,0,0
53402,unicellular_organism,0,0,1,0
54056,incorrect association in ChEMBL,1,0,0,0
54222,unicellular_organism,1,0,0,0
54696,unicellular_organism,1,0,0,0
54697,unicellular_organism,1,0,0,0
55058,test Item with unknown chirality,1,0,0,0
55948,incorrect association in ChEMBL,0,0,1,0
55957,incorrect association in ChEMBL,0,0,1,0
56112,highly correlated assays,2,0,0,0
57305,incorrect association in ChEMBL,0,0,1,0
57314,incorrect association in ChEMBL,1,0,0,0
57340,incorrect association in ChEMBL,1,0,0,0
57666,unicellular_organism,0,0,1,0
58366,unicellular_organism,1,0,0,0
58367,unicellular_organism,1,0,0,0
59179,unicellular_organism,1,0,0,0
59544,incorrect association in ChEMBL,0,0,1,0
59656,incorrect association in ChEMBL,1,0,0,0
59776,exact data citation,0,0,1,0
60532,incorrect association in ChEMBL,0,0,1,0
60996,incorrect association in ChEMBL,0,0,1,0
61120,incorrect association in ChEMBL,0,0,1,0
61534,incorrect association in ChEMBL,1,0,0,0
61631,unicellular_organism,0,0,1,0
62285,unicellular_organism,1,0,0,0
62287,unicellular_organism,1,0,0,0
63516,unicellular_organism,0,0,1,0
63656,unicellular_organism,1,0,0,0
64154,incorrect association in ChEMBL,1,0,0,0
64727,exact data citation,0,0,1,0
65012,incorrect association in ChEMBL,0,0,1,0
65124,unicellular_organism,1,0,0,0
65507,unicellular_organism,1,0,0,0
65508,unicellular_organism,1,0,0,0
66200,unicellular_organism,1,0,0,0
66740,unicellular_organism,0,0,1,0
66808,unicellular_organism,0,0,1,0
67379,incorrect association in ChEMBL,0,0,1,0
67380,incorrect association in ChEMBL,0,0,1,0
67468,incorrect association in ChEMBL,0,0,1,0
67663,unicellular_organism,1,0,0,0
68335,exact data citation,0,0,2,0
68336,exact data citation,0,0,2,0
68338,exact data citation,0,0,2,0
68339,highly correlated assays,0,0,3,0
68340,exact data citation,0,0,2,0
68882,incorrect association in ChEMBL,0,0,1,0
68965,unicellular_organism,1,0,0,0
68990,exact data citation,0,0,2,0
69636,unicellular_organism,1,0,0,0
70676,incorrect association in ChEMBL,1,0,0,0
70713,rounded data citation,5,0,0,0
70714,incorrect association in ChEMBL,1,0,0,0
71131,incorrect association in ChEMBL,1,0,0,0
71303,incorrect association in ChEMBL,0,0,1,0
71314,incorrect association in ChEMBL,0,0,1,0
71421,incorrect association in ChEMBL,0,0,1,0
71977,unicellular_organism,1,0,0,0
72165,incorrect association in ChEMBL,1,0,0,0
72189,incorrect association in ChEMBL,1,0,0,0
72191,incorrect association in ChEMBL,1,0,0,0
72677,highly correlated assays,0,0,1,0
72947,rounded data citation,0,0,5,0
73086,highly correlated assays,0,0,1,0
73582,unicellular_organism,1,0,0,0
74765,highly correlated assays,0,0,2,0
74971,highly correlated assays,0,0,1,0
74975,exact data citation,0,0,1,0
75533,incorrect association in ChEMBL,0,0,1,0
75632,exact data citation,1,0,0,0
76180,test Item with unknown chirality,0,0,1,0
76194,exact data citation,0,0,2,0
76501,incorrect association in ChEMBL,1,0,0,0
76817,incorrect association in ChEMBL,1,0,0,0
76819,incorrect association in ChEMBL,1,0,0,0
78144,highly correlated assays,0,0,2,0
78145,highly correlated assays,0,0,2,0
78159,highly correlated assays,0,0,2,0
79274,highly correlated assays,0,0,1,0
79278,highly correlated assays,0,0,2,0
79279,highly correlated assays,0,0,3,0
79857,incorrect association in ChEMBL,1,0,0,0
79859,incorrect association in ChEMBL,1,0,0,0
80079,rounded data citation,0,0,5,0
80080,exact data citation,0,0,2,0
80574,incorrect association in ChEMBL,0,0,1,0
81635,highly correlated assays,0,0,1,0
81638,exact data citation,0,0,1,0
81639,highly correlated assays,0,0,2,0
81640,highly correlated assays,0,0,1,0
81646,highly correlated assays,0,0,3,0
81647,highly correlated assays,0,0,3,0
81911,highly correlated assays,0,0,1,0
82554,unicellular_organism,1,0,0,0
82927,highly correlated assays,0,0,2,0
83648,exact data citation,0,0,1,0
84479,incorrect association in ChEMBL,1,0,0,0
84481,incorrect association in ChEMBL,1,0,0,0
85713,highly correlated assays,0,0,3,0
86656,exact data citation,0,0,1,0
87648,multifunctional enzyme,1,0,0,0
87720,exact data citation,2,0,0,0
87741,highly correlated assays,0,0,1,0
87753,incorrect association in ChEMBL,0,0,1,0
87981,incorrect association in ChEMBL,1,0,0,0
88259,unicellular_organism,0,0,1,0
88405,incorrect association in ChEMBL,0,0,1,0
88735,exact data citation,0,0,1,0
89841,highly correlated assays,0,0,3,0
89843,highly correlated assays,0,0,2,0
89845,highly correlated assays,0,0,3,0
90669,highly correlated assays,0,0,2,0
91357,review,0,0,5,0
91358,rounded data citation,0,0,5,0
91360,incorrect association in ChEMBL,0,0,1,0
91666,highly correlated assays,0,0,1,0
92545,unicellular_organism,1,0,0,0
92547,unicellular_organism,1,0,0,0
92685,highly correlated assays,0,0,3,0
92688,highly correlated assays,0,0,1,0
93323,incorrect association in ChEMBL,0,0,1,0
94091,unicellular_organism,1,0,0,0
94430,incorrect association in ChEMBL,1,0,0,0
94432,incorrect association in ChEMBL,1,0,0,0
94612,unicellular_organism,1,0,0,0
94634,highly correlated assays,0,0,2,0
95458,unicellular_organism,1,0,0,0
95639,highly correlated assays,0,0,2,0
95642,highly correlated assays,0,0,2,0
95645,exact data citation,0,0,1,0
95885,review,1,0,0,0
96677,highly correlated assays,0,0,3,0
97478,incorrect association in ChEMBL,0,0,1,0
97743,highly correlated assays,0,0,2,0
98609,unicellular_organism,1,0,0,0
99766,incorrect association in ChEMBL,0,0,1,0
99768,incorrect association in ChEMBL,0,0,1,0
100743,exact data citation,0,0,2,0
101649,unicellular_organism,1,0,0,0
101696,highly correlated assays,0,0,2,0
