assay_chembl_id,Filtered.new,independent_IC50,non_independent_IC50,independent_Ki,non_independent_Ki
CHEMBL1000236,test Item with unknown chirality,0,0,0,0
CHEMBL1000237,test Item with unknown chirality,0,0,0,0
CHEMBL1000238,test Item with unknown chirality,0,0,0,0
CHEMBL1000239,test Item with unknown chirality,0,0,0,0
CHEMBL1000240,test Item with unknown chirality,0,0,0,0
CHEMBL1000241,test Item with unknown chirality,0,0,0,0
CHEMBL1000242,test Item with unknown chirality,0,0,0,0
CHEMBL1000243,test Item with unknown chirality,0,0,0,0
CHEMBL1000259,no_issue,0,0,0,0
CHEMBL1000323,unicellular_organism,0,0,0,0
CHEMBL1000326,exact data citation,0,0,0,0
CHEMBL1000327,unicellular_organism,0,0,0,0
CHEMBL1000436,no_issue,0,0,0,0
CHEMBL1001157,no_issue,0,0,0,0
CHEMBL1001164,no_issue,0,0,0,0
CHEMBL1001316,review,0,0,0,0
CHEMBL1001317,review,0,0,0,0
CHEMBL1001318,review,0,0,0,0
CHEMBL1001319,review,0,0,0,0
CHEMBL1001321,exact data citation,0,0,0,0
CHEMBL1001322,review,0,0,0,0
CHEMBL1001385,shuffled assays,0,0,0,0
CHEMBL1001386,shuffled assays,0,0,0,0
CHEMBL1001497,no_issue,0,0,0,0
CHEMBL1001498,no_issue,0,0,0,0
CHEMBL1001508,multiply activity for same test item,0,0,0,0
CHEMBL1001509,multiply activity for same test item,0,0,0,0
CHEMBL1001510,no_issue,0,0,0,0
CHEMBL1002142,no_issue,0,0,0,0
CHEMBL1002143,no_issue,0,0,0,0
CHEMBL1002144,rounded data citation,0,0,0,0
CHEMBL1002145,rounded data citation,0,0,0,0
CHEMBL1002146,rounded data citation,0,0,0,0
CHEMBL1002147,rounded data citation,0,0,0,0
CHEMBL1002148,exact data citation,0,0,0,0
CHEMBL1002149,no_issue,0,0,0,0
CHEMBL1002150,no_issue,0,0,0,0
CHEMBL1002151,no_issue,0,0,0,0
CHEMBL1002153,no_issue,0,0,0,0
CHEMBL1002154,no_issue,0,0,0,0
CHEMBL1002155,no_issue,0,0,0,0
CHEMBL1002353,no_issue,0,0,0,0
CHEMBL1002355,no_issue,0,0,0,0
CHEMBL1003147,no_issue,0,0,0,0
CHEMBL1003709,exact data citation,0,0,0,0
CHEMBL1003729,multifunctional enzyme,0,0,0,0
CHEMBL1003787,test Item with unknown chirality,0,0,0,0
CHEMBL1003792,test Item with unknown chirality,0,0,0,0
CHEMBL1003945,no_issue,0,0,0,0
CHEMBL1003960,unicellular_organism,0,0,0,0
CHEMBL1003961,unicellular_organism,0,0,0,0
CHEMBL1004022,unicellular_organism,0,0,0,0
CHEMBL1004023,unicellular_organism,0,0,0,0
CHEMBL1004024,unicellular_organism,0,0,0,0
CHEMBL1004025,exact data citation,0,0,0,0
CHEMBL1004027,unicellular_organism,0,0,0,0
CHEMBL1004028,unicellular_organism,0,0,0,0
CHEMBL1004035,unicellular_organism,0,0,0,0
CHEMBL1004036,unicellular_organism,0,0,0,0
CHEMBL1004037,unicellular_organism,0,0,0,0
CHEMBL1004515,highly correlated assays,0,0,0,0
CHEMBL1004592,no_issue,0,0,0,0
CHEMBL1004595,no_issue,0,0,0,0
CHEMBL1004829,exact data citation,0,0,0,0
CHEMBL1004830,unicellular_organism,0,0,0,0
CHEMBL1004835,unicellular_organism,0,0,0,0
CHEMBL1004858,no_issue,0,0,0,0
CHEMBL1004859,exact data citation,0,0,0,0
CHEMBL1004952,no_issue,0,0,0,0
CHEMBL1004957,no_issue,0,0,0,0
CHEMBL1005407,unicellular_organism,0,0,0,0
CHEMBL1006276,exact data citation,0,0,0,0
CHEMBL1006277,unicellular_organism,0,0,0,0
CHEMBL1006278,exact data citation,0,0,0,0
CHEMBL1006488,unicellular_organism,0,0,0,0
CHEMBL1006489,unicellular_organism,0,0,0,0
CHEMBL1006558,exact data citation,0,0,0,0
CHEMBL1006559,unicellular_organism,0,0,0,0
CHEMBL1006561,unicellular_organism,0,0,0,0
CHEMBL1006562,unicellular_organism,0,0,0,0
CHEMBL1006579,exact data citation,0,0,0,0
CHEMBL1007262,test Item with unknown chirality,0,0,0,0
CHEMBL1007265,test Item with unknown chirality,0,0,0,0
CHEMBL1007290,no_issue,0,0,0,0
CHEMBL1007321,no_issue,0,0,0,0
CHEMBL1007323,no_issue,0,0,0,0
CHEMBL1007647,no_issue,0,0,0,0
CHEMBL1007648,no_issue,0,0,0,0
CHEMBL1008329,no_issue,0,0,0,0
CHEMBL1008341,no_issue,0,0,0,0
CHEMBL1008378,no_issue,0,0,0,0
CHEMBL1008379,no_issue,0,0,0,0
CHEMBL1009862,exact data citation,0,0,0,0
CHEMBL1010017,multiply activity for same test item,0,0,0,0
CHEMBL1010018,multiply activity for same test item,0,0,0,0
CHEMBL1010596,no_issue,0,0,0,0
CHEMBL1010666,unicellular_organism,0,0,0,0
CHEMBL1010667,unicellular_organism,0,0,0,0
CHEMBL1010700,no_issue,0,0,0,0
CHEMBL1010843,no_issue,0,0,0,0
