document_chembl_id,Filtered.new,independent_IC50,non_independent_IC50,independent_Ki,non_independent_Ki
CHEMBL1121981,exact data citation,0,0,0,0
CHEMBL1122282,test Item with unknown chirality,0,0,0,0
CHEMBL1122477,test Item with unknown chirality,0,0,0,0
CHEMBL1122707,multiply activity for same test item,0,0,0,0
CHEMBL1122740,exact data citation,0,0,0,0
CHEMBL1122801,multiply activity for same test item,0,0,0,0
CHEMBL1122806,no_issue,0,0,0,0
CHEMBL1122824,multiply activity for same test item,0,0,0,0
CHEMBL1122916,no_issue,0,0,0,0
CHEMBL1122934,test Item with unknown chirality,0,0,0,0
CHEMBL1123066,no_issue,0,0,0,0
CHEMBL1123100,multiply activity for same test item,0,0,0,0
CHEMBL1123156,test Item with unknown chirality,0,0,0,0
CHEMBL1123181,highly correlated assays,0,0,0,0
CHEMBL1123545,multifunctional enzyme,0,0,0,0
CHEMBL1123605,no_issue,0,0,0,0
CHEMBL1123885,exact data citation,0,0,0,0
CHEMBL1123890,no_issue,0,0,0,0
CHEMBL1123948,exact data citation,0,0,0,0
CHEMBL1123992,no_issue,0,0,0,0
CHEMBL1124076,no_issue,0,0,0,0
CHEMBL1124077,no_issue,0,0,0,0
CHEMBL1124116,highly correlated assays,0,0,0,0
CHEMBL1124162,no_issue,0,0,0,0
CHEMBL1124177,no_issue,0,0,0,0
CHEMBL1124208,test Item with unknown chirality,0,0,0,0
CHEMBL1124210,exact data citation,0,0,0,0
CHEMBL1124219,test Item with unknown chirality,0,0,0,0
CHEMBL1124229,no_issue,0,0,0,0
CHEMBL1124274,test Item with unknown chirality,0,0,0,0
CHEMBL1124276,unicellular_organism,0,0,0,0
CHEMBL1124288,test Item with unknown chirality,0,0,0,0
CHEMBL1124308,no_issue,0,0,0,0
CHEMBL1124484,no_issue,0,0,0,0
CHEMBL1124520,test Item with unknown chirality,0,0,0,0
CHEMBL1124565,multiply activity for same test item,0,0,0,0
CHEMBL1124568,exact data citation,0,0,0,0
CHEMBL1124573,no_issue,0,0,0,0
CHEMBL1124616,no_issue,0,0,0,0
CHEMBL1124671,multiply activity for same test item,0,0,0,0
CHEMBL1124712,no_issue,0,0,0,0
CHEMBL1124743,no_issue,0,0,0,0
CHEMBL1124798,highly correlated assays,0,0,0,0
CHEMBL1124880,no_issue,0,0,0,0
CHEMBL1124889,review,0,0,0,0
CHEMBL1124890,no_issue,0,0,0,0
CHEMBL1124893,test Item with unknown chirality,0,0,0,0
CHEMBL1124902,no_issue,0,0,0,0
CHEMBL1124949,no_issue,0,0,0,0
CHEMBL1125016,no_issue,0,0,0,0
CHEMBL1125128,exact data citation,0,0,0,0
CHEMBL1125218,test Item with unknown chirality,0,0,0,0
CHEMBL1125250,test Item with unknown chirality,0,0,0,0
CHEMBL1125270,test Item with unknown chirality,0,0,0,0
CHEMBL1125308,multiply activity for same test item,0,0,0,0
CHEMBL1125327,test Item with unknown chirality,0,0,0,0
CHEMBL1125345,highly correlated assays,0,0,0,0
CHEMBL1125358,test Item with unknown chirality,0,0,0,0
CHEMBL1125379,test Item with unknown chirality,0,0,0,0
CHEMBL1125388,test Item with unknown chirality,0,0,0,0
CHEMBL1125447,test Item with unknown chirality,0,0,0,0
CHEMBL1125500,test Item with unknown chirality,0,0,0,0
CHEMBL1125501,highly correlated assays,0,0,0,0
CHEMBL1125508,unicellular_organism,0,0,0,0
CHEMBL1125524,highly correlated assays,0,0,0,0
CHEMBL1125532,no_issue,0,0,0,0
CHEMBL1125635,unicellular_organism,0,0,0,0
CHEMBL1125682,multiply activity for same test item,0,0,0,0
CHEMBL1125704,test Item with unknown chirality,0,0,0,0
CHEMBL1125716,test Item with unknown chirality,0,0,0,0
CHEMBL1125742,highly correlated assays,0,0,0,0
CHEMBL1125790,no_issue,0,0,0,0
CHEMBL1125803,exact data citation,0,0,0,0
CHEMBL1125810,test Item with unknown chirality,0,0,0,0
CHEMBL1125885,highly correlated assays,0,0,0,0
CHEMBL1125921,exact data citation,0,0,0,0
CHEMBL1126012,multiply activity for same test item,0,0,0,0
CHEMBL1126016,no_issue,0,0,0,0
CHEMBL1126053,multiply activity for same test item,0,0,0,0
CHEMBL1126077,test Item with unknown chirality,0,0,0,0
CHEMBL1126087,highly correlated assays,0,0,0,0
CHEMBL1126089,high citation rate,0,0,0,0
CHEMBL1126105,multifunctional enzyme,0,0,0,0
CHEMBL1126126,no_issue,0,0,0,0
CHEMBL1126169,highly correlated assays,0,0,0,0
CHEMBL1126275,multiply activity for same test item,0,0,0,0
CHEMBL1126285,no_issue,0,0,0,0
CHEMBL1126311,no_issue,0,0,0,0
CHEMBL1126554,no_issue,0,0,0,0
CHEMBL1126590,exact data citation,0,0,0,0
CHEMBL1126639,multiply activity for same test item,0,0,0,0
CHEMBL1126645,exact data citation,0,0,0,0
CHEMBL1126651,no_issue,0,0,0,0
CHEMBL1126706,no_issue,0,0,0,0
CHEMBL1126788,test Item with unknown chirality,0,0,0,0
CHEMBL1126828,no_issue,0,0,0,0
CHEMBL1126830,test Item with unknown chirality,0,0,0,0
CHEMBL1126862,test Item with unknown chirality,0,0,0,0
CHEMBL1126863,multiply activity for same test item,0,0,0,0
CHEMBL1126914,test Item with unknown chirality,0,0,0,0
CHEMBL1126920,test Item with unknown chirality,0,0,0,0
CHEMBL1126921,test Item with unknown chirality,0,0,0,0
CHEMBL1126934,highly correlated assays,0,0,0,0
CHEMBL1126938,no_issue,0,0,0,0
CHEMBL1127021,shuffled assays,0,0,0,0
CHEMBL1127052,no_issue,0,0,0,0
CHEMBL1127053,exact data citation,0,0,0,0
CHEMBL1127080,no_issue,0,0,0,0
CHEMBL1127350,test Item with unknown chirality,0,0,0,0
CHEMBL1127386,no_issue,0,0,0,0
CHEMBL1127387,unicellular_organism,0,0,0,0
CHEMBL1127392,multiply activity for same test item,0,0,0,0
CHEMBL1127417,unicellular_organism,0,0,0,0
CHEMBL1127419,high citation rate,0,0,0,0
CHEMBL1127468,test Item with unknown chirality,0,0,0,0
CHEMBL1127494,multiply activity for same test item,0,0,0,0
CHEMBL1127542,test Item with unknown chirality,0,0,0,0
CHEMBL1127544,multiply activity for same test item,0,0,0,0
CHEMBL1127585,no_issue,0,0,0,0
CHEMBL1127600,multiply activity for same test item,0,0,0,0
CHEMBL1127677,test Item with unknown chirality,0,0,0,0
CHEMBL1127684,multiply activity for same test item,0,0,0,0
CHEMBL1127732,test Item with unknown chirality,0,0,0,0
CHEMBL1127803,no_issue,0,0,0,0
CHEMBL1127807,multiply activity for same test item,0,0,0,0
CHEMBL1127826,no_issue,0,0,0,0
CHEMBL1128181,unicellular_organism,0,0,0,0
CHEMBL1128198,exact data citation,0,0,0,0
CHEMBL1128204,exact data citation,0,0,0,0
CHEMBL1128229,test Item with unknown chirality,0,0,0,0
CHEMBL1128259,multiply activity for same test item,0,0,0,0
CHEMBL1128278,no_issue,0,0,0,0
CHEMBL1128311,test Item with unknown chirality,0,0,0,0
CHEMBL1128320,highly correlated assays,0,0,0,0
CHEMBL1128329,test Item with unknown chirality,0,0,0,0
CHEMBL1128351,multiply activity for same test item,0,0,0,0
CHEMBL1128352,test Item with unknown chirality,0,0,0,0
CHEMBL1128361,test Item with unknown chirality,0,0,0,0
CHEMBL1128377,no_issue,0,0,0,0
CHEMBL1128393,test Item with unknown chirality,0,0,0,0
CHEMBL1128394,exact data citation,0,0,0,0
CHEMBL1128493,test Item with unknown chirality,0,0,0,0
CHEMBL1128494,highly correlated assays,0,0,0,0
CHEMBL1128503,test Item with unknown chirality,0,0,0,0
CHEMBL1128524,no_issue,0,0,0,0
CHEMBL1128595,unicellular_organism,0,0,0,0
CHEMBL1128667,exact data citation,0,0,0,0
CHEMBL1128680,exact data citation,0,0,0,0
CHEMBL1129025,no_issue,0,0,0,0
CHEMBL1129040,highly correlated assays,0,0,0,0
CHEMBL1129060,high citation rate,0,0,0,0
CHEMBL1129070,unicellular_organism,0,0,0,0
CHEMBL1129071,exact data citation,0,0,0,0
CHEMBL1129077,no_issue,0,0,0,0
CHEMBL1129280,highly correlated assays,0,0,0,0
CHEMBL1129303,unicellular_organism,0,0,0,0
CHEMBL1129309,test Item with unknown chirality,0,0,0,0
CHEMBL1129338,exact data citation,0,0,0,0
CHEMBL1129342,exact data citation,0,0,0,0
CHEMBL1129349,exact data citation,0,0,0,0
CHEMBL1129363,no_issue,0,0,0,0
CHEMBL1129384,no_issue,0,0,0,0
CHEMBL1129437,test Item with unknown chirality,0,0,0,0
CHEMBL1129452,exact data citation,0,0,0,0
CHEMBL1129453,exact data citation,0,0,0,0
CHEMBL1129454,exact data citation,0,0,0,0
CHEMBL1129490,test Item with unknown chirality,0,0,0,0
CHEMBL1129498,test Item with unknown chirality,0,0,0,0
CHEMBL1129527,unicellular_organism,0,0,0,0
