molecule_chembl_id,Filtered.new,independent_IC50,non_independent_IC50,independent_Ki,non_independent_Ki
CHEMBL10,exact data citation,0,0,0,0
CHEMBL1000,exact data citation,0,0,0,0
CHEMBL100056,unicellular_organism,0,0,0,0
CHEMBL100136,unicellular_organism,0,0,0,0
CHEMBL1002,multiply activity for same test item,0,0,0,0
CHEMBL100219,test Item with unknown chirality,0,0,0,0
CHEMBL100231,test Item with unknown chirality,0,0,0,0
CHEMBL100352,unicellular_organism,0,0,0,0
CHEMBL100445,unicellular_organism,0,0,0,0
CHEMBL100595,test Item with unknown chirality,0,0,0,0
CHEMBL100617,test Item with unknown chirality,0,0,0,0
CHEMBL100629,unicellular_organism,0,0,0,0
CHEMBL100702,unicellular_organism,0,0,0,0
CHEMBL100714,highly correlated assays,0,0,0,0
CHEMBL100729,multiply activity for same test item,0,0,0,0
CHEMBL100763,test Item with unknown chirality,0,0,0,0
CHEMBL1008,exact data citation,0,0,0,0
CHEMBL100833,unicellular_organism,0,0,0,0
CHEMBL100844,unicellular_organism,0,0,0,0
CHEMBL100903,unicellular_organism,0,0,0,0
CHEMBL100934,unicellular_organism,0,0,0,0
CHEMBL100941,test Item with unknown chirality,0,0,0,0
CHEMBL100951,unicellular_organism,0,0,0,0
CHEMBL100980,unicellular_organism,0,0,0,0
CHEMBL100981,unicellular_organism,0,0,0,0
CHEMBL101054,incorrect association in ChEMBL,0,0,0,0
CHEMBL101083,test Item with unknown chirality,0,0,0,0
CHEMBL101091,unicellular_organism,0,0,0,0
CHEMBL101253,high citation rate,0,0,0,0
CHEMBL101300,test Item with unknown chirality,0,0,0,0
CHEMBL101309,incorrect association in ChEMBL,0,0,0,0
CHEMBL101382,test Item with unknown chirality,0,0,0,0
CHEMBL1014,review,0,0,0,0
CHEMBL101412,unicellular_organism,0,0,0,0
CHEMBL101501,unicellular_organism,0,0,0,0
CHEMBL1016,incorrect association in ChEMBL,0,0,0,0
CHEMBL101607,test Item with unknown chirality,0,0,0,0
CHEMBL101670,unicellular_organism,0,0,0,0
CHEMBL1017,incorrect association in ChEMBL,0,0,0,0
CHEMBL101807,test Item with unknown chirality,0,0,0,0
CHEMBL101834,unicellular_organism,0,0,0,0
CHEMBL101845,unicellular_organism,0,0,0,0
CHEMBL10188,incorrect association in ChEMBL,0,0,0,0
CHEMBL101917,incorrect association in ChEMBL,0,0,0,0
CHEMBL101938,unicellular_organism,0,0,0,0
CHEMBL101944,unicellular_organism,0,0,0,0
CHEMBL101946,unicellular_organism,0,0,0,0
CHEMBL101979,unicellular_organism,0,0,0,0
CHEMBL101997,test Item with unknown chirality,0,0,0,0
CHEMBL101998,unicellular_organism,0,0,0,0
CHEMBL102034,unicellular_organism,0,0,0,0
CHEMBL102113,unicellular_organism,0,0,0,0
CHEMBL102163,unicellular_organism,0,0,0,0
CHEMBL102166,unicellular_organism,0,0,0,0
